CategoryName,CategoryTypeName,Sequence
Most deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),10
Second most deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),9
Third more deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),8
Fourth more deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),7
Fifth more deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),6
Fifth less deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),5
Fourth less deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),4
Third less deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),3
Second least deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),2
Least deprived decile,General Practice deprivation deciles: (Index of Multiple Deprivation 2010),1
Most deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),10
Second most deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),9
Third more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),8
Fourth more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),7
Fifth more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),6
Fifth less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),5
Fourth less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),4
Third less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),3
Second least deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),2
Least deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),1
Most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),10
Second most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),9
Third more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),8
Fourth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),7
Fifth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),6
Fifth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),5
Fourth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),4
Third less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),3
Second least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),2
Least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2021 geography (Index of Multiple Deprivation 2019),1
Most deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),10
Second most deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),9
Third more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),8
Fourth more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),7
Fifth more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),6
Fifth less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),5
Fourth less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),4
Third less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),3
Second least deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),2
Least deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),1
Most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),10
Second most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),9
Third more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),8
Fourth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),7
Fifth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),6
Fifth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),5
Fourth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),4
Third less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),3
Second least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),2
Least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2023 geography (Index of Multiple Deprivation 2019),1
Most deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),10
Fourth less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),4
Most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),10
Third more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),8
Fifth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),6
Fourth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),4
Least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),1
Fifth less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),5
Fourth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),7
Third less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),3
Fifth more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),6
Second least deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),2
Least deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),1
Second most deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),9
Third more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),8
Fourth more deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),7
Third less deprived decile (IMD2019),Counties and Unitary Authorities deprivation deciles: Apr 2019 and Apr 2020 geography (Index of Multiple Deprivation 2019),3
