IndicatorID,Polarity,BenchmarkComparisonMethod,ValueType,IndicatorName,PeriodType,Frequency,RequiresGeoAggregation
41101,Low is good,Confidence intervals overlapping reference value (95.0),Indirectly standardised proportion,Emergency readmissions within 30 days of discharge from hospital,Financial,annually,False
383,No judgement,Quintiles,Proportion,People reporting Alzheimer's disease or dementia,Calendar,annually,False
247,No judgement,Confidence intervals overlapping reference value (99.8),Proportion,Dementia prevalence (Quality and Outcomes Framework),Financial,annually,False
352,No judgement,Quintiles,Proportion,People with caring responsibility aged 16 years and over,Calendar,annually,False
30302,High is good,Confidence intervals overlapping reference value (95.0),Proportion,Hepatitis B vaccination coverage aged 2 years,Financial,annually,False
20401,Low is good,Confidence intervals overlapping reference value (95.0),Crude rate,Conception rate in females aged 17 years and under,Calendar,annually,False
41203,Low is good,Confidence intervals overlapping reference value (95.0),Crude rate,Preventable sight loss from diabetic eye disease,Financial,annually,False
108,Low is good,Confidence intervals overlapping reference value (95.0),Directly standardised rate,Mortality rate for all causes aged 74 and under,Calendar,annually,False
241,No judgement,Confidence intervals overlapping reference value (99.8),Proportion,Diabetes prevalence aged 17 years and over (Quality and Outcomes Framework),Financial,annually,True
337,"","",Count,GP registered population by sex and quinary age band,Calendar,annually,False
22401,Low is good,Confidence intervals overlapping reference value (95.0),Directly standardised rate,Emergency hospital admissions due to falls aged 65 years and over,Financial,annually,False
90362,Low is good,Confidence intervals overlapping reference value (95.0),Life expectancy,Healthy life expectancy at birth,Calendar,annually,False
90453,No judgement,Quintiles,Proportion,Former smokers (GP Patient Survey),Calendar,annually,False
91040,Low is good,Confidence intervals overlapping reference value (95.0),Proportion,NHS Health Checks offered to the total eligible population in the quarter,Financial,quarterly,False
91102,High is good,Confidence intervals overlapping reference value (95.0),Life expectancy,Life expectancy aged 65,Calendar,annually,False
91112,High is good,Confidence intervals overlapping reference value (95.0),Proportion,People receiving an NHS Health Check,Financial multi-year,quarterly,False
91344,No judgement,Confidence intervals overlapping reference value (99.8),Indirectly standardised ratio,Urgent suspected cancer referrals,Financial,annually,False
91894,No judgement,Confidence intervals overlapping reference value (95.0),Proportion,Deaths in hospital for people with dementia aged 65 years and over,Calendar,annually,False
92033,High is good,Confidence intervals overlapping reference value (95.0),Proportion,Obesity prevalence including severe obesity in Year 6,Academic,annually,False
92266,No judgement,Confidence intervals overlapping reference value (95.0),Crude rate,General fertility rate in females,Calendar,annually,False
92708,"","",Count,Resident population,Calendar,annually,False
92904,Low is good,Confidence intervals overlapping reference value (95.0),Crude rate,Hospital admission episodes for alcohol-specific conditions aged 17 and under,Financial,annually,False
93015,Low is good,Confidence intervals overlapping reference value (95.0),Proportion,Physically inactive in adults aged 19 years and over,Yearly,annually,False
93085,Low is good,Confidence intervals overlapping reference value (95.0),Proportion,Smokers at time of childbirth delivery,Financial,annually,False
93088,Low is good,Confidence intervals overlapping reference value (95.0),Proportion,Overweight prevalence (including obesity) in adults aged 18 years and over,Yearly,annually,False
93124,Low is good,Confidence intervals overlapping reference value (95.0),Crude rate,Acute hepatitis B incidence rate,Calendar,annually,False
93283,High is good,Confidence intervals overlapping reference value (95.0),Life expectancy,Life expectancy at birth aged 90 and over,Calendar,annually,False
93415,No judgement,Quintiles,Crude rate,Community onset healthcare-associated clostridium difficile rates,Financial,monthly,False
93468,No judgement,Quintiles,Proportion,GP registered populations by age group,Financial year end point,annually,False
93474,No judgement,Confidence intervals overlapping reference value (95.0),Proportion,Deaths in hospital,Calendar,annually,False
93553,Low is good,Quintiles,Score,Deprivation score (Index of Multiple Deprivation 2019),Calendar,annually,False
93701,Low is good,Confidence intervals overlapping reference value (95.0),Proportion,Children in absolute low income families aged 15 years and under,Financial,annually,False
93763,Low is good,Confidence intervals overlapping reference value (95.0),Directly standardised rate,Alcohol-related mortality,Calendar,annually,False
93861,No judgement,No comparison,Proportion,Particulate air pollution attributable mortality (new method),Calendar,annually,False
94035,No judgement,Confidence intervals overlapping reference value (99.8),Directly standardised rate,Hospital admissions for cataract surgery aged 65 years and over,Financial,annually,False
94063,No judgement,Confidence intervals overlapping reference value (99.8),Proportion,Breast screening coverage aged 53 to 70 years,Financial,annually,False
94103,Low is good,Quintiles,Proportion,Perinatal mental health conditions prevalence,Calendar,annually,False
