AgeID,Age,MinYears,MaxYears
-1,Not applicable,0,0
1,All ages,0,150
4,5-9 yrs,5,9
5,10-14 yrs,10,14
6,15-19 yrs,15,19
7,20-24 yrs,20,24
8,25-29 yrs,25,29
9,30-34 yrs,30,34
10,35-39 yrs,35,39
11,40-44 yrs,40,44
12,45-49 yrs,45,49
13,50-54 yrs,50,54
14,55-59 yrs,55,59
15,60-64 yrs,60,64
16,65-69 yrs,65,69
17,70-74 yrs,70,74
18,75-79 yrs,75,79
19,80-84 yrs,80,84
20,85+ yrs,85,150
21,85-89 yrs,85,89
22,90+ yrs,90,150
27,65+ yrs,65,150
28,0-4 yrs,0,4
31,2 yrs,2,2
157,25-34 yrs,25,34
158,35-44 yrs,35,44
159,45-54 yrs,45,54
160,55-64 yrs,55,64
161,65-74 yrs,65,74
164,16+ yrs,16,150
165,75-84 yrs,75,84
168,18+ yrs,18,150
169,<16 yrs,0,15
173,<18 yrs,0,17
179,15-44 yrs,15,44
187,17+ yrs,17,150
200,4-5 yrs,4,5
201,10-11 yrs,10,11
202,35+ yrs,35,150
219,40-74 yrs,40,74
225,53-70 yrs,53,70
227,12+ yrs,12,150
230,30+ yrs,30,150
252,19-24 yrs,19,24
261,18-24 yrs,18,24
279,<65 yrs,0,64
281,90-94 yrs,90,94
282,95+ yrs,95,150
298,19+ yrs,19,150
332,15-55 yrs,15,55
